,priority,starid,lightcurve,elaptime,mean_flux,variance,variability,rms_hour,ptp,pos_row,pos_column,contamination,mask_size,stamp_width,stamp_height,stamp_resizes,errors,tmag,folder,cbv_rms,ens_rms,ens_Fp_0.0,cbv_Fp_0.0,ens_Fp_0.2,cbv_Fp_0.2,ens_Fp_0.7,cbv_Fp_0.7,ens_Fp_7,cbv_Fp_7,ens_Fp_20,cbv_Fp_20,ens_Fp_50,cbv_Fp_50
132,677081,8196289,ffi/00008/tess00008196289-s01-c1800-dr01-v04-tasoc_lc.fits.gz,2.9172018207609653,420.011962890625,0.000805699253920593,7.790580774394443,0.02549367266738126,0.004552148405371215,1892.4362849042614,136.01887871667867,0.379065969669258,12.0,15,15,0,,13.979000091552734,00008,4024.9034780985658,10196.041094922044,23.380410986908643,2.5427370901502604,23.380410986908643,2.5427370901502604,20.98564397876781,2.5436786047097097,6.253638570563995,1.600692897999121,5.111413714203689,1.186057654545664,4.217047037456297,0.9129344472927496
133,678771,8196425,ffi/00008/tess00008196425-s01-c1800-dr01-v04-tasoc_lc.fits.gz,4.743850018829107,280.09039306640625,0.0013683796429912836,7.860547001917637,0.009635620010939233,0.00450806177640839,1939.1736806963986,166.61226160986595,0.14357783289312898,7.0,15,15,0,,13.982000350952148,00008,5511.007250305312,8615.209972356692,206.00298291080162,3816.430312568742,206.00298291080162,3816.430312568742,160.17152680427193,3726.462800598849,41.07202679087326,1880.570231430268,34.67366721283433,1268.8329571787763,25.67025613762312,772.4940840795234
134,679492,8196526,ffi/00008/tess00008196526-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.976204589009285,385.6695556640625,0.01662736299616315,21.202612098325165,0.08313621063465013,0.005847224398264905,1985.6555435316156,158.0284995324861,0.20139924210287163,16.0,15,15,0,,13.984000205993652,00008,20083.987137744745,31885.09683017356,5.1365069146238544e+26,13.96550793379734,5.1365069146238544e+26,13.96550793379734,4.725818154231125e+26,13.596014352182547,2.6628015122401202e+25,6.857281179171399,1.7907020442974326e+25,2.5545996240481212,1.3955824154526324e+25,1.227287462459306
135,687618,8195478,ffi/00008/tess00008195478-s01-c1800-dr01-v04-tasoc_lc.fits.gz,4.093642130494118,277.2947235107422,0.001147509732540789,7.631433828701215,0.025975416998504395,0.004932760175970774,1571.3809644289813,68.15715074433314,0.17007337540390477,7.0,15,15,0,,14.00100040435791,00008,3393.640542217338,34134.5113604845,244.81051809830188,33.48353714274482,244.81051809830188,33.48353714274482,224.34598302280102,33.375057596657626,42.288780726944,27.2341516011153,35.604744704953404,24.285882846769766,23.817751600396367,19.57152145187011
136,734856,8195238,ffi/00008/tess00008195238-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.53866208717227,283.2352752685547,0.002128600449374685,7.129178525578267,0.04979444442754473,0.006504110767166615,1456.7466264995514,47.47008790558353,0.09007548202886051,12.0,10,15,0,,14.095000267028809,00008,6124.508970267239,29770.77597219104,509.08150787485965,5.313261800887663,509.08150787485965,5.313261800887663,472.25215474209506,4.947177566361968,35.31382654766368,3.530712922257117,24.02418713517504,2.8326376234834587,22.815558934670463,2.103182585271532
137,734951,8196487,ffi/00008/tess00008196487-s01-c1800-dr01-v04-tasoc_lc.fits.gz,4.056755322962999,359.7799072265625,0.0064273331792892045,14.495301649383347,0.042955564643902225,0.005001497972562774,1966.5388701327133,164.2447757467047,0.24407778595623075,12.0,15,15,0,,14.095000267028809,00008,13290.601646040306,4949.447119626998,300.0132546113931,4.547849445962607,300.0132546113931,4.547849445962607,250.65759671540073,4.4425658643831145,136.46410421376194,2.25064538745629,131.1369006232147,0.9163938572460006,118.07543167239933,0.3974776766565036
138,738892,8196667,ffi/00008/tess00008196667-s01-c1800-dr01-v04-tasoc_lc.fits.gz,4.353266853839159,330.11785888671875,0.012381120213371295,18.015738373875436,0.05897177965918497,0.005034157315751964,2043.065029062381,173.6418148764804,0.10661939703136969,12.0,15,13,0,,14.102999687194824,00008,10036.505324893757,29799.307897345094,55116.96657490923,13.723426992394272,55116.96657490923,13.723426992394272,47140.05156341447,13.447655801596786,2768.657752533805,5.408808759045396,1542.4924695770155,2.729192112154828,1173.970551119858,0.7695436634987534
139,742804,8195980,ffi/00008/tess00008195980-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.262210324406624,295.1244812011719,0.000564762494160013,5.8932334446234105,0.011034384943521297,0.004744464145544081,1782.3770477491103,128.929417213735,0.10714685107542932,8.0,15,15,0,,14.111000061035156,00008,3399.33058156811,11034.348693867883,84.72770004911247,2.156796912194843,84.72770004911247,2.156796912194843,81.4398072943342,2.1295945639826215,14.102432770926765,1.7884976405825075,12.045844327117461,1.5357170364188004,9.172787999291916,1.3597679265891767
140,743587,8195929,ffi/00008/tess00008195929-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.006332401186228,383.4341735839844,0.000775066027708946,5.997771508619065,0.02219837443095978,0.004069204896926415,1757.2034291817645,122.80251050681852,0.22175843711757925,10.0,15,15,0,,14.112000465393066,00008,3068.316250298611,17877.759043602357,1538.6050252698335,8.249221023752062,1538.6050252698335,8.249221023752062,809.6910764355038,8.207794671943875,98.11229724547539,6.11350894900359,73.69896156654207,5.206808523293583,58.456022044335555,4.522746477715369
141,744112,8196143,ffi/00008/tess00008196143-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.5091729536652565,277.8572998046875,0.0008018668871524822,5.629883155312956,0.02063029887759888,0.00486829624897922,1837.8738583968088,134.45457676703285,0.0,8.0,15,15,0,,14.11299991607666,00008,3404.4899979236343,14592.538795022005,712.6612570600962,64.85400358814846,712.6612570600962,64.85400358814846,546.3535242957445,64.10898993421543,90.33063526096002,51.253609706447804,80.10467521310265,37.2366134678378,70.57233619527513,31.13243480639315
